code_departement;id_prelevement;parametre_code_siseeaux;code_parametre;nom_parametre;nom_parametre_court;nom_parametre_web;qualite_parametre;analyse_in_situ;qualite_resultat_analyse;unite_code_siseeaux;unite;limite_qualite;reference_qualite;resultat;cas_parametre;reference_analyse;type_fichier;fichier_source;code_insee_commune;nom_commune;quartier;code_reseau;nom_reseau;debut_alimentation;code_reseau_amont;nom_reseau_amont;pourcentage_debit;date_prelevement;heure_prelevement;conclusion_prelevement;uge_lib;distributeur_lib;moa_lib;plv_conformite_bacterio;plv_conformite_chimique;plv_conformite_ref_bact;plv_conformite_ref_chim;source_donnee;ingestion_date
1;100143734;CDT25;1303.0;CONDUCTIVITÉ À 25°C;Conductivité à 25°C;;N;L;460;µS/cm;147;;>=200 et <=1100 µS/cm;460.0;;100152800.0;RESULTATS;DIS_RESULT_2025.txt;;;;;;;;;;;;;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648
1;100143734;CL2LIB;1398.0;CHLORE LIBRE;Chlore libre;;N;T;0,36;mg(Cl2)/L;165;;;0.36;;;RESULTATS;DIS_RESULT_2025.txt;;;;;;;;;;;;;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648
1;100143734;CL2TOT;1399.0;CHLORE TOTAL;Chlore total;;N;T;0,42;mg(Cl2)/L;165;;;0.42;;;RESULTATS;DIS_RESULT_2025.txt;;;;;;;;;;;;;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648
1;100143734;COULF;1309.0;COLORATION;Coloration;;N;L;<5;mg(Pt)/L;178;;<=15 mg(Pt)/L;0.0;;100152800.0;RESULTATS;DIS_RESULT_2025.txt;;;;;;;;;;;;;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648
1;100143734;CTF;1447.0;BACTÉRIES COLIFORMES /100ML-MS;Bactéries coliformes /100ml-MS;;N;L;<1;n/(100mL);226;;<=0 n/(100mL);0.0;;100152800.0;RESULTATS;DIS_RESULT_2025.txt;;;;;;;;;;;;;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648
1;100143734;ECOLI;1449.0;ESCHERICHIA COLI /100ML - MF;Escherichia coli /100ml - MF;;N;L;<1;n/(100mL);226;<=0 n/(100mL);;0.0;;100152800.0;RESULTATS;DIS_RESULT_2025.txt;;;;;;;;;;;;;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648
1;100143734;GT22_68;5440.0;BACT. AÉR. REVIVIFIABLES À 22°-68H;Bact. aér. revivifiables à 22°-68h;;N;L;<1;n/mL;222;;;0.0;;100152800.0;RESULTATS;DIS_RESULT_2025.txt;;;;;;;;;;;;;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648
1;100143734;GT36_44;5441.0;BACT. AÉR. REVIVIFIABLES À 36°-44H;Bact. aér. revivifiables à 36°-44h;;N;L;<1;n/mL;222;;;0.0;;100152800.0;RESULTATS;DIS_RESULT_2025.txt;;;;;;;;;;;;;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648
1;100143734;NH4;1335.0;AMMONIUM (EN NH4);Ammonium (en NH4);;N;L;<0,05;mg/L;162;;<=0,1 mg/L;0.0;14798-03-9;100152800.0;RESULTATS;DIS_RESULT_2025.txt;;;;;;;;;;;;;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648
1;100143734;ODQ;5901.0;ODEUR (QUALITATIF);Odeur (qualitatif);;O;L;Aucun changement anormal;SANS OBJET;X;;;0.0;;100152800.0;RESULTATS;DIS_RESULT_2025.txt;;;;;;;;;;;;;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648
1;100143734;PH;1302.0;PH ;pH;;N;T;7,60;unité pH;264;;>=6,5 et <=9 unité pH;7.6;;;RESULTATS;DIS_RESULT_2025.txt;;;;;;;;;;;;;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648
1;100143734;SAVQ;5902.0;SAVEUR (QUALITATIF);Saveur (qualitatif);;O;L;Aucun changement anormal;SANS OBJET;X;;;0.0;;100152800.0;RESULTATS;DIS_RESULT_2025.txt;;;;;;;;;;;;;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648
1;100143734;STRF;6455.0;ENTÉROCOQUES /100ML-MS;Entérocoques /100ml-MS;;N;L;<1;n/(100mL);226;<=0 n/(100mL);;0.0;;100152800.0;RESULTATS;DIS_RESULT_2025.txt;;;;;;;;;;;;;;;;;;;;qualite_eau_2025;2026-05-05T10:43:01.019648
